h3_index,cluster_id,cluster_meaning
891f53cd69bffff,5,5: shop_greengrocer
891f53cd6a3ffff,9,9: aeroway_aerodrome
891f53cd6a7ffff,9,9: aeroway_aerodrome
891f53cd6b3ffff,7,7: highway_bus_stop
891f53cd6b7ffff,7,7: highway_bus_stop
891f53cd6c7ffff,10,10: building_apartments
891f53cd6d3ffff,6,6: building_office
891f53cd6d7ffff,5,5: shop_greengrocer
891f53cd6dbffff,6,6: building_office
891f53cd803ffff,11,11: building_house
891f53cd807ffff,2,2: building_house
891f53cd80bffff,0,0: landuse_industrial
891f53cd80fffff,2,2: building_house
891f53cd813ffff,2,2: building_house
891f53cd817ffff,2,2: building_house
891f53cd81bffff,2,2: building_house
891f53cd823ffff,11,11: building_house
891f53cd827ffff,2,2: building_house
891f53cd82bffff,2,2: building_house
891f53cd82fffff,2,2: building_house
891f53cd833ffff,2,2: building_house
891f53cd837ffff,2,2: building_house
891f53cd83bffff,2,2: building_house
891f53cd843ffff,0,0: landuse_industrial
891f53cd847ffff,0,0: landuse_industrial
891f53cd84bffff,8,8: landuse_industrial
891f53cd84fffff,8,8: landuse_industrial
891f53cd853ffff,0,0: landuse_industrial
891f53cd857ffff,0,0: landuse_industrial
891f53cd85bffff,0,0: landuse_industrial
891f53cd863ffff,11,11: building_house
891f53cd867ffff,2,2: building_house
891f53cd86fffff,2,2: building_house
891f53cd873ffff,2,2: building_house
891f53cd877ffff,2,2: building_house
891f53cd883ffff,11,11: building_house
891f53cd887ffff,2,2: building_house
891f53cd88fffff,2,2: building_house
891f53cd893ffff,0,0: landuse_industrial
891f53cd89bffff,2,2: building_house
891f53cd8a3ffff,11,11: building_house
891f53cd8a7ffff,2,2: building_house
891f53cd8abffff,2,2: building_house
891f53cd8afffff,2,2: building_house
891f53cd8b3ffff,2,2: building_house
891f53cd8b7ffff,2,2: building_house
891f53cd8bbffff,2,2: building_house
891f53cd8c3ffff,8,8: landuse_industrial
891f53cd8c7ffff,2,2: building_house
891f53cd8cbffff,8,8: landuse_industrial
891f53cd8cfffff,0,0: landuse_industrial
891f53cd9dbffff,2,2: building_house
891f53cda03ffff,8,8: landuse_industrial
891f53cda07ffff,8,8: landuse_industrial
891f53cda13ffff,0,0: landuse_industrial
891f53cda1bffff,3,3: landuse_industrial
891f53cda27ffff,8,8: landuse_industrial
891f53cda53ffff,8,8: landuse_industrial
891f53cda67ffff,8,8: landuse_industrial
891f53cda6bffff,8,8: landuse_industrial
891f53cda93ffff,11,11: building_house
891f53cda97ffff,0,0: landuse_industrial
891f53cdac7ffff,0,0: landuse_industrial
891f53cdad3ffff,7,7: highway_bus_stop
891f53cdb17ffff,8,8: landuse_industrial
891f53cdb1bffff,8,8: landuse_industrial
891f53cdb47ffff,8,8: landuse_industrial
891f53cdb63ffff,6,6: building_office
891f53cdb7bffff,8,8: landuse_industrial
891f53cdb83ffff,4,4: landuse_cemetery
891f53cdb8fffff,8,8: landuse_industrial
891f53cdb93ffff,2,2: building_house
891f53cdb97ffff,2,2: building_house
891f53cdb9bffff,8,8: landuse_industrial
891f53cdc03ffff,8,8: landuse_industrial
891f53cdc07ffff,8,8: landuse_industrial
891f53cdc13ffff,9,9: aeroway_aerodrome
891f53cdc17ffff,0,0: landuse_industrial
891f53cdc1bffff,0,0: landuse_industrial
